名称	区	地址	类型	房源数	车位数	开发商
宏发领域花园	宝安区 宝中 	 宝安中心区新湖路与创业路交汇		1354	2350	深圳市宏发投资有限公司
圆龙园	福田区 园岭 	 园岭住宅区		248	122	深圳市六龙顺实业有限公司
香缤广场	宝安区 新安老城 	 宝安区建安一路与新圳路交汇处		1058	700	深圳市惠明盛房地产投资开发有限公司
金众蓝钻风景花园二期	龙岗区 坪山 	 宝龙工业城		1141	432	深圳市金众房地产有限公司
众冠花园	南山区 西丽片区 	 南山区留仙大道与沙河西路交汇处东南侧		256		-
天骄世家	宝安区 西乡 	 宝安区锦花路与西乡大道交汇处西南		1600	1235	泰华房地产（中国）有限公司
月亮湾山庄	南山区 前海片区 	 南山区前海路与兴海路口西侧		200	400	深圳市南油开发建设有限公司
阳光海滨花园	南山区 后海 	 后海		1339	1200	深圳市阳光海滨投资有限公司
金亨利都荟首府	龙华区 民治 	 民治街道梅龙路西侧		1338	1400	深圳市金亨利实业集团有限公司
汇龙湾花园	龙华区 民治 	 民治街道民宝路与民塘路交汇处		776	707	深圳市新辉大实业发展有限公司
恒安花园	宝安区 新安老城 	 宝安区新安街道办洪浪南路		360	324	深圳恒安房地产开发有限公司
都市翠海华苑	宝安区 新安老城 	 新安街道创业路21区		486	89	深圳市富居实业有限公司
益田村	福田区 石厦片区 	 福田区 益田路与福强路交叉口		7405	3460	深圳益田集团
湖景大厦	罗湖区 翠竹 	 罗湖区翠竹片区田贝四路145号		155		-
星航华府一期	宝安区 福永 	 宝安区福永街道		2378	-	深圳市金安城投资发展有限公司
万科金域东郡	坪山区 坪山 	 龙岗区坪山街道		868	797	深圳市万科城市风景房地产开发有限公司
鸿瑞花园三期	南山区 南山中心区 	 南山区南光路西		1074	1000	深圳市半岛房地产开发有限公司
保利悦都花园	龙华区 龙华中心 	 深圳市龙华新区龙华办事处龙观东路以南，清龙路以西。		625		深圳市保利置地房地产开发有限公司
福永花苑	宝安区 福永 	 宝安区广深公路与兴益路交汇处		542	218	兴益（深圳）工业发展有限公司
佳兆业茗萃园三期	龙岗区 平湖 	 龙岗区平安大道与良白路交汇处西侧		671	580	深圳市大业房地产开发有限公司
万科翰邻城	龙岗区 龙岗中心区 	 深圳市龙岗区中心城龙平西路与爱心路交汇处		2067	1360	深圳市尚模发展有限公司
佳华领域广场	龙华区 观澜 	 龙华新区观湖街道		774	-	深圳市佳华房地产开发有限公司
中粮一品澜山花园	坪山区 坑梓 	 坪山新区深汕高速出口与丹梓大道交汇处		1198	980	中粮地产集团深圳房地产开发有限公司
碧桂园太东公园上城	大亚湾 大亚湾 	 广东省惠州市大亚湾西区龙海二路与龙山十路交汇处		5162	6542	碧桂园控股，太东集团
官龙名苑	南山区 西丽 	 南山区新高路与同发路交汇处南侧		-	-	-
海境界	南山区 后海片区 	 南山蛇口后海大道与招商东路交汇处东南		633	420	深圳市蛇口湾厦实业股份有限公司
友谊大厦	罗湖区 宝安南 	 罗湖区建设路1098号		-	-	-
玮鹏花园三期	福田区 华强百花片区 	 福田区振中路与上步中路交汇处（科学馆西面）		870	794	深圳玮鹏实业有限公司
御龙居	宝安区 西乡 	 宝城115区西乡大道北侧		362	561	和黄地产（深圳宝安）有限公司
锦绣壹号	惠州 大亚湾 	 惠州市大亚湾西区石化大道西		3600	3273	惠州市新荃湾实业有限公司
建安新村	宝安区 新安老城 	 宝安区建安一路与宝民一路交汇处东南侧		684	601	深圳市宝晨物业管理有限公司
愉康花园二期	南山区 南山中心区 	 南山区南山大道与学府路交汇处东北侧		714	200	深圳南油房地产有限公司
月亮湾花园	南山区 前海 	 南山区兴海大道22号		1120	460	深圳南油（集团）有限公司
金域豪庭二期	宝安区 福永片区 	 宝安区福永镇宝安大道旁边		530	1000	永泰辉印刷（深圳）有限公司
熙园山院	龙华区 民治片区 	 龙华镇玉龙路西侧(梅龙南路西侧)		421	687	深圳市鸿荣源房地产开发有限公司
前海天朗风清家园	南山区 前海 	 南山区学府路北、桃李路东		472	238	深圳市吉瑞达投资发展有限公司
南海玫瑰花园三期	南山区 蛇口 	 南山区蛇口港西		470	430	深圳市粤华恒威投资有限公司
海印长城小区一期	南山区 后海 	 南山商业文化中心区内		954	1146	深圳市长城投资控股股份有限公司
白金假日公寓	宝安区 西乡 	 宝安区西乡街道海城路		744	271	深圳市澎柏置地实业有限公司
中商花园	宝安区 翻身 	 宝安区新安街道甲岸路10号		491	160	深圳市中商大厦有限公司
滨福庭园	南山区 科技园 	 南山区高新南环路东		301	260	深圳市福田房地产有限公司
翠竹园	南山区 蛇口 	 南山区荔园路25号		432	120	深圳蛇口工业区职工住宅有限公司
花果山小区	南山区 蛇口 	 南山区蛇口花果路花果山住宅小区		815	420	招商地产有限公司
好来居	南山区 南油 	 南山大道东、龙岗路南		274	80	深圳南油房地产有限公司
德兴大厦	罗湖区 人民南 	 罗湖区建设路1046号		864	-	-
大地花园	罗湖区 布心 	 罗湖区太白路4009号		552	-	深圳石化房地产有限公司
新亚洲花园	龙岗区 龙岗中心区 	 龙岗区龙城街道龙翔大道与吉祥路交汇处西北侧		1300	648	深圳新亚洲实业发展有限公司
海洋之心	南山区 后海 	 南山区后海路与创业路交汇处		428	200	天源物产（深圳）有限公司
荟芳园	南山区 南山中心区 	 南山区学府路8号		1032	300	光彩建设股份有限公司
天鹅堡一期	南山区 华侨城 	 南山区香山西街与侨香路交汇处南侧		628	-	深圳华侨城房地产有限公司
颐林雅院	福田区 上梅林片区 	 福田中心北区上梅林中康北路		676	346	深圳市盈升地产建筑发展有限公司
岭尚时代园	福田区 八卦岭 	 八卦四路		812	237	深圳市建业房地产开发有限公司
黄埔雅苑三期	福田区 彩田莲花片区 	 福中路		800	800	和记黄埔地产（深圳）有限公司
龙都名园	南山区 西丽 	 南山区龙珠大道		405		深圳市深建开发有限公司
龙辉花园	南山区 西丽 	 南山区西丽龙珠生活区平南铁路西北侧		-	128	利联实业发展（深圳）有限公司
鸿瑞花园一期	南山区 南山中心区 	 南山区南光路西、桂庙路南		1074	1288	深圳市半岛房地产开发有限公司
信和自由广场	南山区 南油片区 	 南山区南海大道与东滨路交汇处		1128	480	深圳信和（集团）有限公司
冠城世家	宝安区 新安老城片区 	 宝安区前进一路与兴华二路交汇处		1104	580	泰华房地产（中国）有限公司
缤纷假日豪园	南山区 南山中心区 	 南油大路东华园		480	300	深圳市东华实业有限公司
熙园一期	福田区 香蜜湖 	 香蜜湖		689	1050	深圳市鸿荣源房地产开发有限公司
瑞景华庭	南山区 前海 	 南山区内环路		382	542	深圳市半岛房地产开发有限公司
盛世鹏程花园	福田区 八卦岭 	 上步路与笋岗路交汇处东北侧		949	653	深圳鹏盛地产实业有限公司
十五峯一期	南山区 西丽 	 龙珠六路		887	1050	深圳市城市假日房地产开发有限公司
皇达东方雅苑	福田区 皇岗片区 	 福民		696	366	深圳鸿威房地产开发有限公司
中海九号公馆三期	宝安区 西乡片区 	 宝安区西乡街道		200	-	深圳中海地产有限公司
星河明居	福田区 石厦 	 福田区福民路127号		580	470	深圳星河房地产开发有限公司
四季御园	罗湖区 莲塘 	 罗湖区罗沙路		1500	1065	深圳市新世界房地产开发有限公司
泊林花园	罗湖区 翠竹 	 罗湖翠竹水贝二路和贝丽北路的交界处西北侧		1090	621	深圳市特发地产有限公司
中城康桥花园二期	龙岗区 布吉 	 龙岗区布吉镇		2072	1000	深圳市中城银浦房地产开发有限责任公司
睿智华庭	龙岗区 龙岗中心区 	 龙岗区龙城街道		1094	800	深圳市翡翠花园房地产开发有限公司
御林华府	南山区 南头 	 艺园路和南头街交界处		244	200	深圳市艺园投资发展有限公司
君临海域一期	盐田区 沙头角 	 盐田海景二路与海山东二街交汇处		464	633	东港实业发展（深圳）有限公司
豪方菁园	坪山区 坪山 	 坪山新区坪山办事处南布社区		572	281	深圳市新豪方房地产有限公司
万科金域缇香花园一期	坪山区 坪山 	 坪山新区坪山办事处丹梓大道南		2183	1412	深圳市万科城市风景房地产开发有限公司
缔梦园一期	福田区 景田 	 福田景田莲花路与景田路交汇处		328	286	深圳市华泰企业公司
城市明珠花园	龙华区 龙华中心 	 龙华街道东环二路东侧		1651	1450	深圳市宝安劲力工贸发展有限公司
深纺大院	罗湖区 翠竹片区 	 罗湖区贝丽南路与田贝二路交汇处东北侧		-	-	-
金海岸大厦	南山区 南油 	 南山区创业路南、南园路西		875	160	深圳市东山开发有限公司
TATA公寓	宝安区 新安老城 	 宝安区23区新安三路(海关大厦旁)		616	600	深圳市宝晨物业管理有限公司
曦湾华府	南山区 后海 	 南山中心路与工业八路交汇处		196	250	深圳市富力投资有限公司
第五园一期	龙岗区 坂田 	 龙岗坂田片区雅园路与坂雪岗大道交汇处西侧		-		深圳万科第五园房地产有限公司
澳城花园	南山区 后海片区 	 后海滨路与东港路交汇处		447	500	澳达实业发展（深圳）有限公司
德兴城四期	龙岗区 布吉 	 布吉		1078	800	深圳龙岗德兴房地开发公司
山语清晖花园一期	福田区 下梅林 	 莲塘尾		1684	1700	深圳市华来利投资控股（集团）有限公司
百仕达一期	罗湖区 水库 	 罗湖东晓路与太宁路交汇处西北侧		700	500	深圳市百仕达实业有限公司
阳光天健城	龙岗区 龙岗中心区 	 龙岗中心城黄阁路		1667	1983	深圳市天健房地产开发实业有限公司
半山御景华庭	福田区 上梅林 	 梅观高速公路西南		326	213	深圳市津联泰投资有限公司
福中福花园	宝安区 西乡片区 	 宝安区宝源路与新安六路交汇处北侧		679	1100	深圳市福中福房地产开发有限公司
万科金色家园三期	福田区 景田 	 莲花路		331	260	深圳市万科房地产有限公司
海月花园二期	南山区 后海 	 后海大道东，工业八路北		1211	1211	深圳招商房地产有限公司
大陆庄园	南山区 南山中心区 	 南山区南新路与学府路交汇处西南侧		193		深圳市奥康德投资开发有限公司
鸿景园	宝安区 新安老城片区 	 新安街道宝民		1535	1000	深圳市鸿荣源房地产开发有限公司
翰岭院	福田区 上梅林片区 	 福田区彩田北路‎		1264	898	深圳市东部开发（集团）有限公司
云海天城世家	南山区 南油 	 南山后海大道与龙城路交汇处		735	340	深圳市京龙晟投资有限公司
中泰燕南名庭二期	福田区 华强百花 	 燕南路与振华路交汇处		295	400	深圳市中泰天成集团有限公司
鹏益花园	福田区 八卦岭片区 	 福田区上步北路与八卦三路交汇处		2040	140	大益置业建筑(深圳)有限公司
香蜜湖1号	福田区 香蜜湖 	 福田区香梅路		447	788	深圳中海信和地产开发有限公司
现代之窗大厦	福田区 华强百花 	 华强北路		448	500	深圳市赛格达声房地产开发有限公司
招商城市主场	福田区 八卦岭 	 八卦岭片区		1350	600	深圳城市主场投资有限公司
东方威尼斯花园一期	坪山区 坪山 	 坪山镇中心区		402	221	广东省水利水电第二工程局深圳分公司
联泰香域中央	福田区 农科 	 农园路与侨香路交汇处		715	864	深圳市联泰房地产开发有限公司
菁英趣庭	宝安区 宝中 	 宝安区中心区N4区		738	445	深圳市榕江实业有限公司
海月花园一期	南山区 后海 	 后海路东、东滨路南		934	744	深圳招商房地产公司
德尚世家花园	南山区 前海 	 南山区沿山路与凉亭路交汇处西南侧		146	199	深圳南油房地产有限公司
怀德广场	宝安区 福永 	 福永街道		1008		深圳市怀德房地产开发有限公司
熙园二期	福田区 香蜜湖 	 香蜜湖路		-	1050	深圳市鸿荣源房地产开发有限公司
高发西岸花园一期	宝安区 宝中 	 新安街道创业路与裕安西路交汇处		713	567	深圳市高发投资控股有限公司
金海华府	宝安区 西乡 	 宝安区新安四路与锦花路交汇处东北侧		999	800	深圳市港城豪庭实业发展有限公司
奥园翡翠东湾花园一期	坪山区 坪山 	 深圳市坪山区兰景中路与金牛东路交汇处		1170	817	中国奥园地产集团有限公司
皇庭港湾花园	南山区 后海 	 南山后海工业七路与中心路交汇		215	462	深圳市皇庭房地产开发有限公司
波托菲诺纯水岸十五期	南山区 华侨城 	 香山中街		562	768	深圳华侨城房地产有限公司
奥宸观壹城华府	龙华区 观澜 	 龙华区观澜高尔夫大道与观平路交汇处		2279	1812	深圳市奥宸房地产开发有限公司
方鼎华庭	南山区 南头 	 中山园路与北环大道交界东南		366	244	深圳市方鼎实业投资发展有限公司
深业新岸线二期	宝安区 宝中 	 宝安区新安六路与宝源路交汇处南侧		-	840	深业集团（深圳）有限公司
招商花园城北区	坪山区 坪山 	 深圳市坪山新区丹梓大道以南、新和二路以东、荷康路以西		2682	3170	深圳坪山招商房地产有限公司
城南雅筑	龙岗区 龙岗中心区 	 龙岗街道		304		深圳市龙岗长海实业有限公司
中海华庭	福田区 福田中心区 	 福田区民田路89号		638	509	深圳中海房地产开发有限公司
金成时代家园	宝安区 宝中 	  宝安 宝安中心区		760	795	深圳市金成地产集团有限公司
心语家园	南山区 前海片区 	 南山前海路与东滨路口北侧		448	150	深圳市京地投资发展有限公司
时代骄子	南山区 南山中心区 	 学府路北、南山大道东		668	118	深圳市金江岛房地产开发有限公司
前海豪苑	南山区 前海 	 南山区学府路与前海路交汇处		374	210	深圳市南山罐头厂有限公司
合正荣悦府	罗湖区 翠竹 	 文锦中路东北侧		1475	1170	深圳市教新实业有限公司
旭飞华达园一期	罗湖区 水库 	 罗湖布心路南，翠竹路东		2160	600	深圳市旭飞投资控股有限公司
西湖林语名苑	南山区 西丽 	 深圳·西丽湖畔·大学城西侧		617	500	深圳市华南观赏生物开发有限公司
东华明珠园	龙华区 龙华中心 	 宝安区龙华街道建设东路东南侧		896	950	深圳市鹏宝东物业发展有限公司
汇金家园	南山区 南头 	 南山区艺园路		413	-	深圳市南头投资发展有限公司
翠薇园	南山区 蛇口 	 南山区蛇口工业区工业八路		1197	210	招商局地产控股股份有限公司
天骄华庭	南山区 后海 	 蛇口工业八路南		426	338	深圳市南头城实业股份有限公司
花样年花乡家园	宝安区 宝中 	 宝安中心区宝安大道西南侧		1102	1038	深圳市花样年投资发展有限公司
阳光荔景	南山区 南头 	 南山区南山大道与梅园路交汇处北侧		372	218	深圳市源政房地产开发有限公司
航天立业华庭	福田区 华强百花片区 	 福田区振华路与上步路交汇处		276	200	深圳市航天立业实业发展有限公司
凤凰新天	宝安区 福永片区 	 宝安区福永街道广深公路和兴益路交汇处东北侧		742	515	深圳市同和工贸有限公司
幸福海岸三期	宝安区 宝中 	 宝安区中心区N15区		595	814	深圳市福中福房地产开发有限公司
祥祺滨河名苑	坪山区 坪山 	 深圳市坪山新区坪山街道办六联社区洋岭路与坪河东路交汇处		429	321	深圳祥祺房地产开发有限公司
君悦阁	福田区 华强百花 	 燕南路9号		271	70	深圳泽鹏房地产开发有限公司
中洲华府商业大厦	宝安区 新安老城 	 宝安区创业路与公园路交汇处		1988	450	深圳市中洲宝能置业有限公司
远洋新天地一期	龙岗区 龙岗中心区 	 深圳·龙岗中心·龙翔大道东（天成学校旁）		633	2250	远洋地产
佳兆业新都汇家园	龙岗区 布吉 	 龙岗区布吉街道		1086	-	深圳市正昌泰投资咨询有限公司
同和悦园	宝安区 福永 	 宝安区福永街道白石厦		747	-	深圳市同和工贸有限公司
东津名座	坪山区 坪山 	 坪山新区中山大道与比亚迪路交汇		336	611	深圳市南湖置业有限公司
东方玫瑰花园	福田区 景田 	 福田区香梅路1018号		642	210	华业发展（深圳）有限公司
麟恒中心广场一期	龙岗区 横岗 	 龙岗区横岗街道办		3121	1032	深圳市麟恒投资发展有限公司
都市花园	福田区 新洲片区 	 福田区新洲路与滨河大道交汇处西北侧（特发高尔夫南侧）		806	170	深圳茂业（集团）有限公司
晶品居	南山区 科技园 	 麒麟路以东、深南路以北		242	120	深圳市众智投资有限公司
松泉公寓	罗湖区 布心 	 罗湖区太白路与翠竹路交汇处东北侧		-	128	深圳市石化房地产公司
宝雅花园	宝安区 新安老城 	 宝安区洪浪北路与大宝路交汇处南侧		315	67	宝恒地产有限公司
泰华锦绣城	宝安区 翻身 	 宝安区上川一路与广深公路交汇处西北侧		528	200	泰华房地产（中国）有限公司
御景台	宝安区 新安老城 	 宝安区前进一路与新安二路交汇处南侧		969	595	深圳市鸿荣源房地产开发有限公司
香榭里花园二期	福田区 农科 	 农科中心农园路		2170	1200	深圳市美地置业发展有限公司
南海玫瑰花园二期	南山区 蛇口 	 南山区望海路以南、蛇口渔港以西		749	650	华保宏实业（深圳）有限公司
富通天骏花园	龙华区 龙华中心 	 龙华镇中环		893	430	深圳市盛宝实业有限公司
君逸世家花园	宝安区 宝中 	 宝安区新安街道罗田路西北侧		863	814	泰华房地产（中国）有限公司
香缇湾花园	宝安区 西乡 	 宝安区宝源路和共乐路交汇处东北侧		764	800	深圳市中熙投资集团有限公司
花园城一期	南山区 蛇口片区 	 南山区南海大道与工业八路交汇处		754	256	深圳招商房地产有限公司
龙丽园	罗湖区 翠竹 	 罗湖区田贝一路与田贝南路交汇处西北侧		416	141	深圳市建材集团有限公司
梅林一村	福田区 下梅林片区 	 福田区梅山街与梅林路交汇处北侧（梅林水库东南侧）		6840	690	深圳市住宅局
中信红树湾四期	南山区 红树湾片区 	 南山区沙河东路和白石二路交汇处		357	1466	深圳中信红树湾房地产有限公司
创世纪滨海花园三期	南山区 科技园 	 南油大道东、桂庙路北		1066	-	深圳澎柏房地产有限公司
绿景大公馆	龙岗区 龙岗中心区 	 龙岗大运新城龙翔路与黄阁路交汇处		1008	-	深圳市龙康弘投资发展有限公司
伍兹公寓	南山区 蛇口 	 南山蛇口望海路和工业一路交汇处		159	320	深圳招商房地产有限公司
大东城二期	坪山区 坪山 	 坪山新区行政一路和行政九路交汇处东北侧		1438	1380	深圳天俊实业股份有限公司
山海上城一期A区	宝安区 西乡 	 宝安区西乡街道		600	430	深圳市康达尔（集团）股份有限公司
黄埔雅苑二期	福田区 彩田莲花片区 	 新洲路		654	800	和记黄埔地产（深圳）有限公司
黄埔雅苑四期	福田区 彩田莲花片区 	 福中路		738	650	和记黄埔地产（深圳）有限公司
风临洲苑	宝安区 宝中 	 宝安区新安街道新城大道		414	443	深圳市正中房地产开发有限公司
英伦春天	南山区 科技园 	 南山区沙河西路		252	-	深圳市友盛置业有限公司
东乐花园(罗湖)	罗湖区 水库 	 罗湖区布心路1023号		3618	-	-
泰华俊庭	宝安区 翻身 	 宝安区翻身路与创业一路交汇处西北侧		622	238	泰华房地产(中国)有限公司
宝田雅苑	宝安区 西乡 	 宝安区宝安大道与西乡大道交汇处东北侧		632	213	深圳市宝安区西乡镇物业发展公司
富通城一期	宝安区 西乡片区 	 宝安区西乡大道与兴业路交汇处东侧		1580	1395	深圳市富通房地产集团有限公司
仓前锦福苑	南山区 南头片区 	 南山区南新路东侧		-	68	中建蛇口发展有限公司
翡翠公寓	罗湖区 翠竹 	 罗湖区文锦北路		519	120	深圳市深宝实业股份有限公司
半山海景兰溪谷一期	南山区 蛇口 	 南山区蛇口沿山路以西		539	735	深圳招商房地产有限公司
星河盛世花园一期	龙华区 民治 	 宝安区民治街道		2744	2744	深圳市星河房地产开发有限公司
花半里清湖花园	龙华区 龙华中心 	 宝安区龙华街道清华东路与大和路交汇处		1950		深圳市恒和基房地产开发有限公司
鼎太风华社区八期	南山区 前海 	 前海路西、桂庙路南		233	305	鼎太房地产开发（深圳）有限公司
天悦南湾	南山区 西丽片区 	 深圳市南山区西丽留仙大道与同发路交汇处		613	-	深圳市天悦房地产开发有限公司
鼎太风华社区五期	南山区 前海 	 前海路西、桂庙路南		438	248	鼎太风华房地产开发(深圳)有限公司
后海理想雅园	南山区 后海 	 后海大道与招商东路交汇处东北		348		深圳市新润园房地产开发有限公司
塘朗城一期	南山区 西丽 	 留仙大道与塘朗地铁站交汇处		770	1536	深圳市朗通房地产开发有限公司
水木丹华园	南山区 西丽 	 深圳市南山区学苑大道以南		924	800	深圳市塘泰投资发展有限公司
观海台	南山区 后海 	 南山商业文化中心区内		929	634	中建蛇口发展有限公司
万科金色领域花园（三期）	宝安区 福永 	 宝安区福永街道		2052		深圳万科恒大物业有限公司
盛龙花园一期	龙岗区 龙岗中心区 	 龙岗龙城大道与盛龙路交汇		2380	238	深圳市东部开发（集团）有限公司
星海名城三期	南山区 前海 	 深南大道南、前海路西		5600	547	深圳市振业（集团）股份有限公司
中兆花园	龙岗区 布吉 	 龙岗区南湾街道龙岗街道420号		1992	600	中兆实业（深圳）有限公司
花样年花郡家园	宝安区 宝中 	 宝安中心区明玉路与玉律路交汇处		2280	2280	深圳市花样年投资发展有限公司
珑门一期	龙华区 观澜 	 龙华新区观澜办事处豆腐坳		1600	1640	深圳市鹏城置业投资发展集团有限公司
紫薇花园	龙岗区 龙岗中心区 	 龙岗区龙城街道清林路与吉祥路交汇处东南侧		300	-	-
新银座华庭	罗湖区 人民南 	 罗湖区春凤路3045号		1144	300	联马实业（深圳）有限公司
富通蟠龙居	宝安区 西乡 	 西乡镇新城大道58区		814	285	深圳市富通房地产集团有限公司
缤纷年华家园	南山区 南头 	 深圳市南山区艺园路东侧		469	288	深圳市金海港房地产开发有限公司
金地1號院	龙华区 观澜 	 龙华新区观澜办事处辖区		1407	-	深圳市金地北城房地产开发有限公司
山水情家园	南山区 前海 	 荔湾路东，内环路南		283	160	深圳市崇诚实业有限公司
西岸观邸花园	宝安区 宝中 	 宝安中心区N7区		865	728	深圳市鸿荣源房地产开发有限公司
润城花园	南山区 西丽 	 南山区珠光村西南		678	350	深圳市城市建设开发(集团)公司
新天国际名苑	福田区 香蜜湖 	 莲花西路		469	500	深圳国际俱乐部有限公司
富通好旺角一期	宝安区 宝中 	 宝安区新安街道新城大道		932		深圳市富通房地产集团有限公司
君成雍和园	宝安区 西乡片区 	 宝安区西乡街道		1248	1075	深圳市君成投资发展有限公司
中信红树湾花城二期	南山区 红树湾 	 南山区沙河东路和白石二路交汇处		739	1466	深圳中信红树湾房地产有限公司
东方半岛花园B区	龙岗区 布吉 	 龙岗区布龙路2号		-	-	-
华策中心城	龙岗区 龙岗中心区 	 深圳市龙岗区吉祥南路转龙腾三路南侧（地铁3号线爱联站A出口）		708	728	深圳市宁佳置业有限公司
大益广场	宝安区 西乡 	 西乡镇五十七区西乡大道		580		大益置业建筑（深圳）有限公司
绿海名居	宝安区 西乡 	 宝安区西乡街道西乡大道南侧		843	650	深圳市名居房地产有限公司
有方育才家园	南山区 蛇口片区 	 南山区蛇口工业七路四海公园南门税务局旁		-	-	-
珠光花半里欣苑	南山区 西丽 	 西丽珠光路北		340	100	深圳市恒祥基房地产开发建设有限公司
前海花园三期	南山区 前海 	 月亮湾大道和桃园路交界东北侧		1330	520	深圳市政府
桃源村一期	南山区 西丽 	 南山区龙珠大道033号		3406	500	深圳市国土资源和房产管理局
雍景湾花园	南山区 蛇口 	 南山后海大道与工业七路交汇处		1499	1666	招商局地产控股股份有限公司
发展兴苑	福田区 福田中心区 	 滨河路与新洲路交汇处东北侧		505	678	深业恒威房地产开发（深圳）有限公司
御景湾花园	宝安区 宝中 	 新安街道新安六路		497	-	深圳市松茂房地产开发有限公司
恒立听海花园	南山区 科技园 	 高新科技园科苑南路与高新十一道交汇处		589	402	广东伟鸿集团有限公司
长城大厦(三花园)	福田区 华强百花 	 福田区百花四路与百花五路交汇处北侧		250	200	深圳市长城(地产)集团股份有限公司
凤凰雅居	宝安区 西乡 	 宝安西乡前进二路与宝田一路交汇处西北侧		496	300	深圳市裕盛房地产开发有限公司
桃源村二期	南山区 西丽 	 北环路与龙珠大道的交界处		3636	800	深圳市国土资源和房产管理局
东方美地苑	南山区 南头 	 南山区关口路46号		512	150	深圳市东方杰实业发展有限公司
半山海景兰溪谷二期	南山区 蛇口 	 工业大道与工业四路交界西南		541	735	深圳招商房地产有限公司
深房传麒尚林	龙岗区 龙岗中心区 	 深圳市龙岗中心城丰田路与龙凤路交汇处（新生公园北200米）		1350	1053	深圳市深房集团龙岗开发有限公司
百仕达五期	罗湖区 水库 	 布心泰宁路		940	2357	深圳市百仕达实业股份有限公司
百仕达三期	罗湖区 水库 	 布心路北侧		1288	300	百仕达地产有限公司
玮鹏花园一期	福田区 华强百花 	 振中路		756	794	深圳玮鹏实业有限公司
西海明珠花园	南山区 南山中心区 	 南山桃园路与南海大道交界处		1217	702	深圳市海岸房地产开发有限公司
鼎太风华社区六期	南山区 前海 	 前海路与东滨路口西北侧		606	349	鼎太风华房地产开发(深圳)有限公司
东海花园	福田区 农科片区 	 福田区香林路与农园路交汇处（招商银行大厦北面）		1147	349	深圳市东海成房地产开发有限公司
学府花园	南山区 南山中心区 	 南山区学府路105号		752		深圳市金江岛房地产开发有限公司
置地逸轩	罗湖区 宝安南 	 罗湖区南湖路与春风路交汇处西北侧		1276	400	深圳市置地投资发展有限公司
东海花园二期	福田区 农科片区 	 福田区香林路与农园路交汇处		-	1386	深圳东海爱地房地产发展有限公司
蔚蓝海岸社区二期	南山区 后海 	 南山区白石路东、登良路南		4545	1320	卓越置业集团有限公司
幸福城三期	龙华区 龙华中心 	 宝安区龙华街道		1521	2372	深圳市永晋盈投资有限公司
湾美花园	宝安区 西乡片区 	 宝安区 西乡碧海中心区海城路与宝源路交汇处		1454	-	深圳市广兴源投资发展有限公司
湾上六座	宝安区 西乡 	 宝安区西乡兴业路与西乡大道交汇处西北侧		977	977	中信华南（集团）深圳有限公司
金地上塘道花园一期	龙华区 民治片区 	 民治街道布龙公路		1087	627	深圳市金地新城房地产开发有限公司
阳光花园	龙岗区 布吉片区 	 龙岗区布吉街道长龙路		1232	-	深圳市银浩实业有限公司
宝能华府	南山区 西丽 	 南山西丽中心区地铁5号线留仙洞站B出口		315	280	深圳宝能华府置业有限公司
六和城	坪山区 坪山片区 	 深圳市坪山新区坪山深汕路168号		1340	1580	深圳市六和房地产开发有限公司
崇德雍翠华府	罗湖区 布心 	 罗湖区文锦北路与太白路交汇处		1380	522	深圳市崇德地产有限公司
水榭春天花园	龙华区 民治片区 	 龙华二线拓展区人民南路旁（从福龙路转人民路直抵）		534	267	深圳市水榭花都房地产有限公司
水榭春天花园二期	龙华区 民治 	 龙华二线拓展区人民南路旁（从福龙路转人民路直抵）		818	635	深圳市水榭花都房地产有限公司
丽景城	宝安区 西乡片区 	 宝安区前进二路与西乡大道交汇处东南侧		1924	1000	深圳市鸿荣源实业有限公司
现代城华庭	南山区 南油 	 南山区创业路与南光路交汇处		1451	500	宏明（深圳）木业有限公司
悠然天地家园	南山区 南头 	 深南大道以南南山大道以东		524	680	深圳市悠然天地房地产开发有限公司
国展苑	龙岗区 布吉 	 龙岗区深惠公路与荣超路交汇处东侧		3141	800	国都房地产开发（深圳）有限公司
布吉中心花园	龙岗区 布吉 	 布吉镇		1088		深圳市雍盛建筑工程有限公司
天然居	福田区 景田 	 福田区景田西路与景田北路交汇处南侧		1254	485	深圳市天健房地产开发实业有限公司
天悦龙庭一期	宝安区 宝中 	 新安街道新湖路东侧		1280	750	深圳市龙光房地产有限公司
幸福海岸一期	宝安区 宝中 	 宝安区中心区N15区		595	440	深圳市福中福房地产开发有限公司
南山花园	南山区 前海 	 南山区前海路0118号		550	-	深圳南油（集团）有限公司
英伦名苑二期	南山区 科技园 	 大冲村沙河西路		148	-	深圳市友盛置业有限公司
绿海湾花园	南山区 后海 	 南山区后海滨路与招商东路交汇处东南侧		993	650	深圳市名居房地产有限公司
丹枫雅苑	龙华区 龙华中心 	 宝安区龙华街道建设东路		588	217	深圳市经盛实业有限公司
马古岭小区	罗湖区 翠竹 	 罗湖区田贝三路与翠竹路交汇处西南侧		308		深圳市城建(开发)集团
水榭春天花园六期A区	龙华区 民治片区 	 龙华新区民塘		1216		莱蒙房地产（深圳）有限公司
半岛城邦二期	南山区 蛇口 	 蛇口东角头		2053	1867	深圳南海益田置业有限公司
海怡东方花园	南山区 科技园 	 南山区科技南路与高新南十路交汇处		746	746	深圳市鸿瑞通房地产开发有限公司
名家富居	南山区 南头 	 艺园路西		1013	1013	深圳富霖房地产开发有限公司
