名称	区	地址	类型	房源数	车位数	开发商
聚宝花园	罗湖区 莲塘 	 罗湖区罗沙路与畔山路交汇处西北侧		384	456	鸿威地产开发有限公司
鹿丹村	罗湖区 宝安南 	 罗湖区红岭南路与滨河大道东南侧		1280	1292	-
天平大厦	福田区 景田 	 福田区景田路76号		-	-	-
爵士大厦	罗湖区 桂园蔡屋围 	 罗湖嘉宾路与和平路交汇处		-	-	-
蓝馨苑	罗湖区 翠竹 	 罗湖区木头龙		170	43	深圳市蓝基实业有限公司
金泰名苑	罗湖区 水库 	 罗湖区太宁路18号		120	-	-
金溪大厦	罗湖区 东门 	 罗湖区人民北路书院街11号		98		-
金祥都市花园	罗湖区 清水河泥岗 	 罗湖区红岗路南侧（龙园山庄对面）		772	400	深圳市潮宏基建筑工程有限公司
金丽花园一期	罗湖区 笋岗 	 罗湖区梅园路与广九铁路交汇处西南侧		308	-	-
锦星别墅	罗湖区 黄贝岭 	 罗湖区文华片区春风路1005号		468	-	-
坂田商业大楼	龙岗区 坂田 	 宝安区布吉镇坂田吉华路999号		322	300	深圳市坂田实业集团股份有限公司
联泰大厦	福田区 竹子林 	 竹子林		-		深圳市联泰房地产开发有限公司
莲花阁	罗湖区 莲塘 	 罗湖区聚福路197号		296	-	-
金凯水都	东莞 常平 	 东莞市常平镇横江厦村金凯水都		23	-	东莞市常平房地产开发有限公司
旗峰天下	东莞 东城 	 东莞市东城区迎宾路1号		-	-	东莞市星河传说商住区建造有限公司
观澜湖高尔夫大宅丽维康区	龙华区 观澜 	 观澜街道高尔夫大道		-	-	深圳观澜湖房地产开发有限公司
中信凯旋城三期	东莞 南城 	 东莞市南城区东莞大道旁		2100	360	中信华南（集团）东莞有限公司
观澜湖高尔夫大宅蔓菲亚区	龙华区 观澜 	 观澜镇高尔夫大道		224	-	深圳观澜湖房地产开发有限公司
深业泰然水松大厦	福田区 车公庙 	 福田区车公庙滨河路		76		深业泰然（集团）股份有限公司
荷塘月色	东莞 东城 	 东莞市东城区东城东路与东升路交会处，迎宾路1号		1027	984	东莞市星河传说商住区建造有限公司
锦绣旗峰	东莞 东城 	 东莞市东城区鸿福路与新源路交叉处		242	283	东莞市高田房地产开发有限公司
景湖名郡	东莞 南城 	 东莞市南城东莞市东城东泰新源南路与东骏路附近		1392	956	广东光大企业集团有限公司
盛世翡翠	惠州 惠阳区 	 惠阳区淡水金惠大道8号（天虹斜对面）		442	-	惠州市富基房地产开发有限公司
东岸丽都花园	惠州 大亚湾 	 大亚湾区中兴北路178号		1452	1084	惠州市惠阳区联诚实业投资有限公司
新城国际	惠州 惠阳区 	 惠阳区政府西侧，金惠大道旁（天虹商场附近）		468	449	惠州大亚湾裕隆置业有限公司
都市柏林	惠州 博罗区 	 博罗县罗阳镇浪头开发区（博罗华侨中学斜对面）		315	109	惠州市舜辉实业有限公司
锦江·钻石LIFE	惠州 惠阳区 	 惠阳淡水人民四路与云新大道交汇处		308	102	惠州锦祥实业有限公司
